City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,rio grande,-32.035,-52.0986,23.27,73,1,6.46,BR,1675831993
191,ilulissat,69.2167,-51.1,-26.99,76,75,2.57,GL,1675831994
192,phan thiet,10.9333,108.1,30.87,54,12,6.36,VN,1675831995
193,cassia,-20.5831,-46.9219,19.63,96,99,0.52,BR,1675831996
194,mana,5.6592,-53.7767,23.79,91,38,3.81,GF,1675831996
195,pali,25.7667,73.3333,23.45,20,0,1.58,IN,1675831997
196,zhigansk,66.7697,123.3711,-42.12,96,100,3.04,RU,1675831858
197,xining,36.6167,101.7667,1.19,58,95,1.36,CN,1675831998
198,maracas,-13.4411,-40.4308,16.78,92,21,2.17,BR,1675831999
199,lavrentiya,65.5833,-171.0,-26.29,92,98,1.52,RU,1675832000
200,castro,-24.7911,-50.0119,15.85,96,43,2.16,BR,1675832000
201,esperance,-33.8667,121.9,22.3,64,63,6.09,AU,1675832001
202,zhezkazgan,47.8043,67.7144,-12.01,85,100,4.0,KZ,1675832001
203,bengkulu,-3.8004,102.2655,29.6,56,79,4.48,ID,1675832002
204,bambous virieux,-20.3428,57.7575,27.14,78,40,5.14,MU,1675832003
205,yuanping,38.7153,112.7575,2.8,41,100,2.06,CN,1675832003
206,kulhudhuffushi,6.6221,73.07,26.93,72,75,4.67,MV,1675832004
207,brae,60.3964,-1.353,6.85,74,100,14.03,GB,1675832006
208,coquimbo,-29.9533,-71.3436,17.85,88,100,2.57,CL,1675832008
209,the valley,18.217,-63.0578,25.05,76,0,9.03,AI,1675831810
210,navoloki,57.4657,41.9634,-11.77,94,93,3.58,RU,1675832012
211,san isidro,-12.1167,-77.05,25.01,80,0,4.63,PE,1675832012
212,ushirombo,-3.4919,31.9639,17.8,92,75,0.92,TZ,1675832013
213,cherskiy,68.75,161.3,-32.69,97,100,2.53,RU,1675832013
214,staraya kulatka,52.7167,47.6167,-18.76,98,22,2.64,RU,1675832014
215,yongan,39.6957,113.6871,1.51,38,56,1.47,CN,1675832014
216,tres lagoas,-20.7511,-51.6783,20.99,87,93,1.11,BR,1675832015
217,yumen,40.2833,97.2,1.76,37,28,8.6,CN,1675832015
218,bloomington,44.8408,-93.2983,-0.82,81,20,3.6,US,1675832015
219,palana,59.1167,159.9667,-24.85,98,98,4.73,RU,1675832016
220,winnemucca,40.973,-117.7357,2.4,60,71,1.71,US,1675831755
